SAMPLE_ID	AGE	d13C	d18O	LITHIUM	MAGNESIUM	CALCIUM	MANGANESE	COBALT	COPPER	ZINC	STRONTIUM	BARIUM	AREA	BAY	STATION	DATE	MONTH	YEAR	DEPTH_SHALLOW	DEPTH_DEEP	TEMPERATURE	DO	SALINITY	TURBIDITY	DEPTH_SHALLOW_END	DEPTH_DEEP_END	TEMP_END	DO_END	SALINITY_END	TURBIDITY_END
Cleu_Ara001	1	-4.02	1.53	20.14218393	18380.79531	0.008501491	38.63144737	0.111481009	25.14681959	26.00320873	3156.421554	15.72430398	5	250	158	4/23/2014	april	2014	0.0	0.5	28.2	5.5	29.2	9.0	0.0	0.3	24.2	5.8	28.9	6.0
Cleu_Ara001	1	-5.03	2.31										5	250	158	4/22/2014	april	2014	0.0	0.5	28.2	5.5	29.2	9.0	0.0	0.3	24.2	5.8	28.9	6.0
Cleu_Ara002	2	-5.78	1.49										5	20	317	5/21/2014	may	2014	0.1	1.2	25.6	7.5	28.7	11.0	0.0	1.1	24.7	6.4	28.9	4.0
Cleu_Ara002	2	-5.91	0.85	18.81769989	16744.27883	0.010859632	42.10623472	0.16236143	25.75809325	17.72131429	2637.78058	21.20247496	5	20	317	5/20/2014	may	2014	0.1	1.2	25.6	7.5	28.7	11.0	0.0	1.1	24.7	6.4	28.9	4.0
Cleu_Ara002	2	-5.92	0.56										5	20	317	5/19/2014	may	2014	0.1	1.2	25.6	7.5	28.7	11.0	0.0	1.1	24.7	6.4	28.9	4.0
Cleu_Ara004	0												5	315	54	5/20/2014	may	2014	0.2	0.6	27.5	7.6	28.6	36.0	0.2	0.6	24.8	6.7	28.2	32.0
Cleu_Ara005	0												5	120	47	5/11/2014	may	2014	0.0	1.4	26.3	7.1	29.4	21.0	0.1	1.3	25.5	6.4	29.4	24.0
Cleu_Ara100	0	-4.91	1.06	9.171607203	21188.82487	0.010142316	12.51814156	0.462985745	7.695230579	30.67450962	3353.68189	3.04891312																		
Cleu_Ara012	0	-3.92	4.07	25.95600578	23242.78235	0.008573873	32.03897351	0.199531923	121.8149526	36.17460077	3288.355415	10.51664988	6	130	207	5/19/2014	may	2014	0.0	1.4	25.5	8.1	36.3	5.0	0.0	1.2	23.4	6.7	36.4	5.0
Cleu_Ara015	0	-4.77	2.01	18.86783299	28029.96247	0.007278848	9.04376279	0.127165822	1.232049334	36.93335242	4233.28366	2.823999999	5	120	30	6/16/2014	june	2014	0.0	0.7	30.5	6.4	31.8	23.0	0.0	0.7	27.9	6.3	31.7	48.0
Cleu_Ara017	0	-2.38	1.94	24.38894226	21091.85295	0.010821734	63.25465388	0.67448886	399.3148225	22.93987769	2923.167612	25.75386003	6	284	56	5/12/2014	may	2014	0.0	1.5	26.6	5.3	32.9	34.0	1.8	1.9	24.6	4.8	32.1	193.0
Cleu_Ara019	0	-4.65	1.83	24.73017074	29736.20638	0.008370014	63.75925291	0.204647199	19.62239643	34.23308919	3987.604878	18.65503964	5	250	156	9/29/2014	sept	2014	0.0	0.6	28.5	8.6	29.9	28.0	0.0	0.6	26.2	5.1	31.0	15.0
Cleu_Ara024	0												6	260	15	9/29/2014	sept	2014	0.0	1.3	26.7	6.6	37.1	16.0	0.0	1.4	25.9	5.1	37.8	8.0
Cleu_Ara025	0	-4.19	2.28	27.60231195	22551.9729	0.008893684	133.988405	0.539636794	4.827843192	27.57083771	2381.598326	25.41714417	6	260	15	9/29/2014	sept	2014	0.0	1.3	26.7	6.6	37.1	16.0	0.0	1.4	25.9	5.1	37.8	8.0
Cleu_Ara028	0	-4.62	2.14	22.116781	23272.79746	0.006378261	44.88888382	0.879271272	1.671897905	28.48580293	2637.524398	21.03656884	6	260	10	9/29/2014	sept	2014	0.0	1.2	26.6	7.3	34.0	10.0	0.0	1.3	26.0	5.4	37.6	8.0
Cleu_Ara030	0	-3.84	3.53	22.55504129	27501.23466	0.009597363	78.46616933	0.310013111	26.96262555	38.23284337	3320.250106	27.62214272	5	250	77	9/28/2014	sept	2014	0.0	1.4	27.3	7.8	29.6	13.0	0.0	1.4	26.7	6.0	29.8	10.0
Cleu_Ara031	0	-4.89	2.44	17.50291904	28581.77884	0.007830046	107.446905	0.281315388	130.8242184	43.91318096	3464.993079	26.92337557	5		126	9/18/2013	sept	2013	0	1.1	29.2	5.9	30.6	25						
Cleu_Ara032	0	-6.09	1.43	20.45915446	25089.40464	0.007611728	265.1044771	0.144155164	97.56888291	45.44956722	2831.966729	32.13838512	5																	
Cleu_Ara034	0	-5.14	1.89	21.1108847	26013.87022	0.009723968	95.51017596	0.127704773	48.93015101	31.91563506	3547.99613	26.44608901	5																	
Cleu_Ara036	0	-5.01	1.87	21.85802954	25170.67634	0.010136519	43.24229754	0.193894836	20.9807627	35.09827207	3433.610753	15.76271574	5																	
Cleu_Ara037	0	-4.84	2.26	20.56912384	28542.06653	0.010280318	46.75610449	0.14278398	94.25906832	35.388383	3360.726902	20.88782542	5																	
Cleu_Ara039	0	-6.62	1.28	110.3914586	611.7080656	0.010645235	11.9502123	4.451432223	7.611867053	20.15326783	230.3462739	12.55819412	6	130	156	5/6/2015	may	2015	0.0	1.6	25.6	6.2	29.6	2.0	0.0	1.6	24.8	5.6	29.5	4.0
Cleu_Ara039	1	-6.93	0.98										6	130	156	5/5/2015	may	2015	0.0	1.6	25.6	6.2	29.6	2.0	0.0	1.6	24.8	5.6	29.5	4.0
Cleu_Ara042	0	-3.03	1.9	25.61477729	25846.70911	0.009844569	65.33842312	0.437731215	1.868861897	38.89718022	3066.757765	39.96948079	6	130	156	10/20/2014	oct	2014	0.0	1.2	24.7	6.4	35.3	3.0	0.0	1.1	25.2	3.8	38.9	2.0
Cleu_Ara047	2												6	260	18	5/6/2015	may	2015	0.0	1.2	25.4	6.5	10.9	42.0	0.0	1.1	23.3	5.8	11.2	35.0
Cleu_Ara047	2												6	260	18	5/5/2015	may	2015	0.0	1.2	25.4	6.5	10.9	42.0	0.0	1.1	23.3	5.8	11.2	35.0
Cleu_Ara047	2	-6.12	1.44	13.58267271	21758.18853	0.009263866	60.51102439	0.186376182	1.052146605	31.82122026	3563.623247	24.53612547	6	260	18	5/4/2015	may	2015	0.0	1.2	25.4	6.5	10.9	42.0	0.0	1.1	23.3	5.8	11.2	35.0
Cleu_Ara048	1												6	130	73	4/14/2015	april	2015	0.0	2.3	25.1	6.8	30.6	13.0	0.0	2.1	24.1	5.5	30.8	16.0
Cleu_Ara049	0																													
Cleu_Ara050	0												5	20	155	10/29/2014	oct	2014	0.2	0.8	27.3	7.6	34.4	9.0	0.2	0.9	25.4	5.0	34.8	6.0
Cleu_Ara051	0												5	20	155	10/29/2014	oct	2014	0.2	0.8	27.3	7.6	34.4	9.0	0.2	0.9	25.4	5.0	34.8	6.0
Cleu_Ara052	0												5	20	155	10/29/2014	oct	2014	0.2	0.8	27.3	7.6	34.4	9.0	0.2	0.9	25.4	5.0	34.8	6.0
Cleu_Ara053	0												5	20	155	10/29/2014	oct	2014	0.2	0.8	27.3	7.6	34.4	9.0	0.2	0.9	25.4	5.0	34.8	6.0
Cleu_Ara054	0																													
Cleu_Ara055	0	-3.46	2.74	17.23786051	25631.98558	0.008228887	9.902194	0.389482704	1.657220979	41.50302865	3166.540753	7.697798688																		
Cleu_Ara056	0																													
Cleu_Ara057	0																													
Cleu_Ara058	0																													
Cleu_Ara059	2	-5.38	1.18	21.43755842	15546.44481	0.008452653	30.25142637	0.113732035	3.255557636	18.21896611	3162.185655	16.64536898																		
Cleu_Ara059	2	-6.09	1.29																											
Cleu_Ara059	2	-5.56	1.74																											
Cleu_Ara060	0	-3.5	2.64	17.86986095	20605.1463	0.011444065	56.35982919	0.444682352	1.783873488	37.00888426	2755.368235	22.24367887																		
Cleu_Ara061	0																													
Cleu_Ara062	0																													
Cleu_Ara063	0																													
Cleu_Ara064	0	-5.3	0	8.435135861	31881.59452	0.008864123	16.74247297	0.509944963	1.216047776	51.03377337	2978.502978	3.430006828																		
Cleu_Ara065	0	-7.14	1.32	7.629933663	22777.31716	0.009903732	63.57539091	0.18115045	3.619248681	30.00502287	1864.110173	32.03459164																		
Cleu_Ara066	0																													
Cleu_Ara067	0	-4.75	2.86	17.75698063	25276.88367	0.009790003	12.71814255	0.218391407	3.747119852	30.67279299	3050.746374	8.596225266																		
Cleu_Ara068	0	-7.61	-2.34	10.85818156	22379.27054	0.007520335	80.63574083	0.291355496	0.858185113	36.59174252	2223.790057	20.06973664																		
Cleu_Ara069	0																													
Cleu_Ara070	0	-2.57	2.77	17.52200196	24478.01982	0.008669439	74.74398546	0.198863472	1.532299322	40.26018658	3013.343765	25.74487005	6	284	64	5/10/2015	may	2015	0.2	1.1	28.4	6.6	28.2	9.0	0.0	1.0	26.5	3.4	28.3	3.0
Cleu_Ara071	0	-5.56	1.82	18.06732066	19628.96237	0.010900013	81.47129144	0.468371448	1.322954433	29.84022613	2592.820595	18.71388319																		
Cleu_Ara072	0																													
Cleu_Ara073	0	-5.63	1.91	13.19923539	20657.7882	0.009254787	85.19143242	0.195679279	2.270861307	30.40671492	2586.672221	21.26703941																		
Cleu_Ara074	0	-6.14	1.12	8.937922292	20058.87119	0.007766768	101.3488157	0.324086784	3.605649122	31.99460016	2542.352691	21.61683162																		
Cleu_Ara075a	0												6	284	64	5/10/2015	may	2015	0.2	1.1	28.4	6.6	28.2	9.0	0.0	1.0	26.5	3.4	28.3	3.0
Cleu_Ara076a	1																													
Cleu_Ara077a	2																													
Cleu_Ara080	1																													
Cleu_Ara081	0	-5.03	0.36	22.00519444	23398.86095	0.010060433	65.24036339	0.059903188	11.51476366	27.94163037	3120.556039	10.00364854																		
Cleu_Ara082	0																													
Cleu_Ara085	2																													
Cleu_Ara086	0	-7.12	-0.33	5.713717385	19850.61246	0.009718087	56.40885906	0.107957829	1.722869755	28.59395079	1980.160734	28.59060947																		
Cleu_Ara087	0	-3.71	0.47	9.308583757	23327.28644	0.011374957	81.64493888	0.177973875	2.527751665	25.11038807	2745.889492	21.71326966																		
Cleu_Ara088	0																													
Cleu_Ara089	0	-5.57	1.24	17.08374168	27154.9064	0.006051695	12.51385145	0.047528069	32.03314138	40.3769176	4192.678772	2.946999362	6	130	212	6/8/2016	june	2016	0.40	2.20	29.50	6.30	24.90	12.00	0.30	1.80	28.80	5.60	25.20	6.00
Cleu_Ara090	0	-5.3	0.64	20.51413915	21520.37645	0.009939232	29.66715382	0.058669504	5.940181089	21.73771981	3209.707463	5.98275441																		
Cleu_Ara091	1																													
Cleu_Ara092	0																													
