SharkID,Location,Estuary,ThreeRegion,TwoRegion,Annulus Sampled,Age,Year.Collected,Sampled.Year,d13C,d18O,Li,Mg,Ca,Mn,Cu,Zn,Sr,Ba
Cleu_Ara31,Aransas Bay,Aransas/Corpus,South,South,0,0,2013,2013,-4.89,2.44,17.50291904,28581.77884,0.007830046,107.446905,130.8242184,43.91318096,3464.993079,26.92337557
Cleu_Ara32,Aransas Bay,Aransas/Corpus,South,South,0,0,2013,2013,-6.09,1.43,20.45915446,25089.40464,0.007611728,265.1044771,97.56888291,45.44956722,2831.966729,32.13838512
Cleu_Ara37,Aransas Bay,Aransas/Corpus,South,South,0,0,2013,2013,-4.84,2.26,20.56912384,28542.06653,0.010280318,46.75610449,94.25906832,35.388383,3360.726902,20.88782542
Cleu_Ara34,Aransas Bay,Aransas/Corpus,South,South,0,0,2013,2013,-5.14,1.89,21.1108847,26013.87022,0.009723968,95.51017596,48.93015101,31.91563506,3547.99613,26.44608901
Cleu_Ara36,Aransas Bay,Aransas/Corpus,South,South,0,0,2013,2013,-5.01,1.87,21.85802954,25170.67634,0.010136519,43.24229754,20.9807627,35.09827207,3433.610753,15.76271574
Cleu_Ara15,Aransas Bay,Aransas/Corpus,South,South,0,0,2014,2014,-4.77,2.01,18.86783299,28029.96247,0.007278848,9.04376279,1.232049334,36.93335242,4233.28366,2.823999999
Cleu_Ara30,Aransas Bay,Aransas/Corpus,South,South,0,0,2014,2014,-3.84,3.53,22.55504129,27501.23466,0.009597363,78.46616933,26.96262555,38.23284337,3320.250106,27.62214272
Cleu_Ara19,Aransas Bay,Aransas/Corpus,South,South,0,0,2014,2014,-4.65,1.83,24.73017074,29736.20638,0.008370014,63.75925291,19.62239643,34.23308919,3987.604878,18.65503964
Cleu_Ara65,Aransas Bay,Aransas/Corpus,South,South,0,0,2015,2015,-7.14,1.32,7.629933663,22777.31716,0.009903732,63.57539091,3.619248681,30.00502287,1864.110173,32.03459164
Cleu_Ara74,Aransas Bay,Aransas/Corpus,South,South,0,0,2015,2015,-6.14,1.12,8.937922292,20058.87119,0.007766768,101.3488157,3.605649122,31.99460016,2542.352691,21.61683162
Cleu_Ara87,Aransas Bay,Aransas/Corpus,South,South,0,0,2015,2015,-3.71,0.47,9.308583757,23327.28644,0.011374957,81.64493888,2.527751665,25.11038807,2745.889492,21.71326966
Cleu_Ara68,Aransas Bay,Aransas/Corpus,South,South,0,0,2015,2015,-7.61,-2.34,10.85818156,22379.27054,0.007520335,80.63574083,0.858185113,36.59174252,2223.790057,20.06973664
Cleu_Ara73,Aransas Bay,Aransas/Corpus,South,South,0,0,2015,2015,-5.63,1.91,13.19923539,20657.7882,0.009254787,85.19143242,2.270861307,30.40671492,2586.672221,21.26703941
Cleu_Ara71,Aransas Bay,Aransas/Corpus,South,South,0,0,2015,2015,-5.56,1.82,18.06732066,19628.96237,0.010900013,81.47129144,1.322954433,29.84022613,2592.820595,18.71388319
Cleu_Ara86,Aransas Bay,Aransas/Corpus,South,South,0,0,2016,2016,-7.12,-0.33,5.713717385,19850.61246,0.009718087,56.40885906,1.722869755,28.59395079,1980.160734,28.59060947
Cleu_Ara100,Aransas Bay,Aransas/Corpus,South,South,0,0,2016,2016,-4.91,1.06,9.171607203,21188.82487,0.010142316,12.51814156,7.695230579,30.67450962,3353.68189,3.04891312
Cleu_Ara81,Aransas Bay,Aransas/Corpus,South,South,0,0,2016,2016,-5.03,0.36,22.00519444,23398.86095,0.010060433,65.24036339,11.51476366,27.94163037,3120.556039,10.00364854
Cleu_Ara28,Corpus Christi Bay,Aransas/Corpus,South,South,0,0,2014,2014,-4.62,2.14,22.116781,23272.79746,0.006378261,44.88888382,1.671897905,28.48580293,2637.524398,21.03656884
Cleu_Ara17,Corpus Christi Bay,Aransas/Corpus,South,South,0,0,2014,2014,-2.38,1.94,24.38894226,21091.85295,0.010821734,63.25465388,399.3148225,22.93987769,2923.167612,25.75386003
Cleu_Ara42,Corpus Christi Bay,Aransas/Corpus,South,South,0,0,2014,2014,-3.03,1.9,25.61477729,25846.70911,0.009844569,65.33842312,1.868861897,38.89718022,3066.757765,39.96948079
Cleu_Ara25,Corpus Christi Bay,Aransas/Corpus,South,South,0,0,2014,2014,-4.19,2.28,27.60231195,22551.9729,0.008893684,133.988405,4.827843192,27.57083771,2381.598326,25.41714417
Cleu_Ara64,Corpus Christi Bay,Aransas/Corpus,South,South,0,0,2015,2015,-5.3,0,8.435135861,31881.59452,0.008864123,16.74247297,1.216047776,51.03377337,2978.502978,3.430006828
Cleu_Ara55,Corpus Christi Bay,Aransas/Corpus,South,South,0,0,2015,2015,-3.46,2.74,17.23786051,25631.98558,0.008228887,9.902194,1.657220979,41.50302865,3166.540753,7.697798688
Cleu_Ara70,Corpus Christi Bay,Aransas/Corpus,South,South,0,0,2015,2015,-2.57,2.77,17.52200196,24478.01982,0.008669439,74.74398546,1.532299322,40.26018658,3013.343765,25.74487005
Cleu_Ara67,Corpus Christi Bay,Aransas/Corpus,South,South,0,0,2015,2015,-4.75,2.86,17.75698063,25276.88367,0.009790003,12.71814255,3.747119852,30.67279299,3050.746374,8.596225266
Cleu_Ara60,Corpus Christi Bay,Aransas/Corpus,South,South,0,0,2015,2015,-3.5,2.64,17.86986095,20605.1463,0.011444065,56.35982919,1.783873488,37.00888426,2755.368235,22.24367887
Cleu_Ara93,Corpus Christi Bay,Aransas/Corpus,South,South,0,0,2016,2016,-4.5,1.04,16.30134195,19901.86904,0.008570885,56.8419562,1.552716321,23.81827864,3602.819132,9.956818886
Cleu_Ara89,Corpus Christi Bay,Aransas/Corpus,South,South,0,0,2016,2016,-5.57,1.24,17.08374168,27154.9064,0.006051695,12.51385145,32.03314138,40.3769176,4192.678772,2.946999362
Cleu_Ara90,Corpus Christi Bay,Aransas/Corpus,South,South,0,0,2016,2016,-5.3,0.64,20.51413915,21520.37645,0.009939232,29.66715382,5.940181089,21.73771981,3209.707463,5.98275441
Cleu_Dic04,Galveston Bay,Galveston,North,North,0,0,2013,2013,-6.53,-0.01,6.656057857,23007.27913,0.010218038,80.2026437,10.84167384,29.81447664,2352.009276,38.72314173
Cleu_Dic03,Galveston Bay,Galveston,North,North,0,0,2013,2013,-5.88,0.81,8.016605375,26070.66805,0.010513169,87.10972585,50.22299214,27.92789731,2628.173746,26.89231926
Cleu_Dic02,Galveston Bay,Galveston,North,North,0,0,2013,2013,-5.53,-1.34,10.16650656,25692.93936,0.009744746,111.4571394,7.452381323,31.10538442,2785.341559,23.12388029
Cleu_Dic01,Galveston Bay,Galveston,North,North,0,0,2013,2013,-6.01,0.81,10.57646591,26249.37343,0.009330151,87.77980068,96.09235944,30.86848911,2259.911755,39.90818543
Cleu_Dic28,Galveston Bay,Galveston,North,North,0,0,2014,2014,-7.04,0.01,6.638592133,24738.92044,0.009837747,68.90738868,0.939994404,24.09293987,1754.079895,39.67608032
Cleu_Dic26,Galveston Bay,Galveston,North,North,0,0,2014,2014,-6.62,0.24,6.8653231,24926.39947,0.011703637,108.595021,12.57535259,36.20035026,2300.516643,26.0072142
Cleu_Dic30,Galveston Bay,Galveston,North,North,0,0,2014,2014,-6.53,0.24,7.966633999,35903.1583,0.008575086,115.8882134,25.5684059,38.84224798,2276.30742,36.8646663
Cleu_Dic15,Galveston Bay,Galveston,North,North,0,0,2014,2014,-6.39,1.07,8.94277388,22277.68092,0.008354307,91.01781463,36.62449355,36.25528251,1549.518365,16.71320251
Cleu_Dic11,Galveston Bay,Galveston,North,North,0,0,2014,2014,-7.7,-1.3,9.434401654,24995.20335,0.009177418,75.44061811,2.447885168,53.62073885,2192.535823,46.60981187
