K1	K2	REF	N_Loci_Ref	Not_Mapped	Mean_Mapped_Non0	Sum_Mapped	Reads_Mapped	Sum_Paired	Mean_Paired	Sum_Mismatch	Mean_Mismatch
1	1	11	104618	17249	60.7603320399684	106171389	5308569.45	92842371	4642118.55	9015201	450760.05
1	10	110	35617	1	143.685318396226	102349926	5117496.3	89502904	4475145.2	8575965	428798.25
1	2	12	61576	64	86.1891070035115	106033287	5301664.35	91744479	4587223.95	8905301	445265.05
1	3	13	57043	16	93.5405316779771	106686718	5334335.9	91513662	4575683.1	9496013	474800.65
1	4	14	52853	6	100.511255132742	106234366	5311718.3	91440005	4572000.25	9353084	467654.2
1	5	15	49099	2	107.475832535593	105534819	5276740.95	91155898	4557794.9	8859019	442950.95
1	6	16	45943	2	114.439244901069	105149067	5257453.35	90861716	4543085.8	8827785	441389.25
1	7	17	43136	1	120.639471426915	104075672	5203783.6	90621213	4531060.65	8457962	422898.1
1	8	18	40521	1	127.771024185587	103545638	5177281.9	90307680	4515384	8601073	430053.65
1	9	19	37967	1	136.607914976558	103729122	5186456.1	89742169	4487108.45	9077853	453892.65
2	1	21	58737	667	91.7756294127777	106588216	5329410.8	91799773	4589988.65	9325964	466298.2
2	10	210	25580	1	194.41824348098	99460485	4973024.25	85455631	4272781.55	10134207	506710.35
2	2	22	47171	29	111.340644223834	104976413	5248820.65	90652599	4532629.95	9043148	452157.4
2	3	23	41989	4	124.184644515899	104277846	5213892.3	90562931	4528146.55	8761308	438065.4
2	4	24	38286	2	134.895229077421	103286579	5164328.95	89755761	4487788.05	8691313	434565.65
2	5	25	35408	2	145.488879003559	103023585	5151179.25	89655787	4482789.35	9179000	458950
2	6	26	32965	1	154.78042713263	102043640	5102182	88619051	4430952.55	9309184	465459.2
2	7	27	30689	1	164.74250032586	101112357	5055617.85	87846310	4392315.5	9375912	468795.6
2	8	28	28684	1	174.533469302374	100122870	5006143.5	86957636	4347881.8	9205869	460293.45
2	9	29	27023	1	184.297872104211	99601942	4980097.1	86217519	4310875.95	9188172	459408.6
3	1	31	45820	178	114.244684720214	104287118	5214355.9	91769900	4588495	8250682	412534.1
3	10	310	22773	1	213.841502722642	97391974	4869598.7	83618143	4180907.15	9967165	498358.25
3	2	32	37309	11	138.403693227519	103243619	5162180.95	90148343	4507417.15	9129697	456484.85
3	3	33	33054	3	154.192923058304	101924606	5096230.3	88995108	4449755.4	9224158	461207.9
3	4	34	30105	2	167.531724412849	100864150	5043207.5	87819971	4390998.55	9120910	456045.5
3	5	35	27835	1	179.64936947618	100007211	5000360.55	86775032	4338751.6	9152275	457613.75
3	6	36	26229	1	189.443228610645	99374340	4968717	86081387	4304069.35	9152760	457638
3	7	37	25000	1	200.310452418097	100151220	5007561	85431114	4271555.7	10619892	530994.6
3	8	38	24111	1	206.427673164662	99539424	4976971.2	85050954	4252547.7	10399136	519956.8
3	9	39	23405	1	210.248622030422	98413175	4920658.75	84290562	4214528.1	10205033	510251.65
4	1	41	37859	118	136.366435706526	102932113	5146605.65	90820061	4541003.05	8600926	430046.3
4	10	410	21417	1	224.632727867015	96214690	4810734.5	82050640	4102532	10182030	509101.5
4	2	42	30914	11	163.618972268065	101126342	5056317.1	88133468	4406673.4	9082600	454130
4	3	43	27556	3	181.279953181142	99896131	4994806.55	86741887	4337094.35	9099379	454968.95
4	4	44	25682	2	194.664966900312	99979927	4998996.35	85997654	4299882.7	10012287	500614.35
4	5	45	24547	1	201.897003585106	99115277	4955763.85	85299648	4264982.4	9987630	499381.5
4	6	46	23734	1	209.216561328109	99306733	4965336.65	84748309	4237415.45	10548559	527427.95
4	7	47	23139	1	212.891678191719	98517753	4925887.65	84207785	4210389.25	10272090	513604.5
4	8	48	22562	1	215.778671158193	97363652	4868182.6	83404602	4170230.1	9957900	497895
4	9	49	21982	1	220.687120695146	97018472	4850923.6	83059811	4152990.55	9950468	497523.4
5	1	51	32505	98	156.350907211405	101337277	5066863.85	89365444	4468272.2	8480689	424034.45
5	10	510	20238	1	229.974035183081	93079691	4653984.55	80128670	4006433.5	8203506	410175.3
5	2	52	27005	9	184.733508667951	99741316	4987065.8	86587274	4329363.7	9159153	457957.65
5	3	53	24935	2	199.449171780371	99457324	4972866.2	85636252	4281812.6	9520586	476029.3
5	4	54	23901	1	208.17100209205	99505739	4975286.95	84711727	4235586.35	10659199	532959.95
5	5	55	23170	1	212.423548707324	98432824	4921641.2	84126319	4206315.95	10165954	508297.7
5	6	56	26396	1	202.375391172571	106833969	5341698.45	103312742	5165637.1	2124567	106228.35
5	7	57	22019	1	220.51829412299	97107436	4855371.8	83055646	4152782.3	9897988	494899.4
5	8	58	21508	1	220.790300832287	94970740	4748537	82335598	4116779.9	8162465	408123.25
5	9	59	20867	1	225.335270296176	94036915	4701845.75	81341538	4067076.9	8141852	407092.6
6	1	61	28889	82	175.877767556497	101330217	5066510.85	87254843	4362742.15	10492092	524604.6
6	10	610	19097	1	236.82030006284	90446409	4522320.45	77591607	3879580.35	8202718	410135.9
6	2	62	24977	8	198.764598101646	99259065	4962953.25	85382645	4269132.25	9287512	464375.6
6	3	63	23699	1	208.181726306017	98669811	4933490.55	84546344	4227317.2	10163147	508157.35
6	4	64	22877	1	214.099090750131	97954616	4897730.8	83809971	4190498.55	10078266	503913.3
6	5	65	22278	1	218.821654621358	97493800	4874690	83103152	4155157.6	10337522	516876.1
6	6	66	21678	1	220.945822761452	95788852	4789442.6	82596795	4129839.75	8368381	418419.05
6	7	67	21052	1	224.626913210774	94572423	4728621.15	81718020	4085901	8181736	409086.8
6	8	68	20473	1	228.574113423212	93587385	4679369.25	80736072	4036803.6	8125374	406268.7
6	9	69	19782	1	232.077693240989	91814577	4590728.85	79162491	3958124.55	8166055	408302.75
